"NBA LIVE Companion",books_and_reference,"1.0.0.1","Sep 21 2015","Android 4.4+",42.3 MB,"ELECTRONIC ARTS",null
"XMOD Games Pro",books_and_reference,"2.0","Oct 04 2015","Android 2.3.2+",1.1 MB,"Drone Apps",https://download.apkpure.com/c/APK/427/0116f2c85c95f3d1?fn=XMOD%20Games%20Pro_v2.0_apkpure.com.apk&k=dcdaa96a5c069d8da1d91a7edd792af05724c38a&p=com.drone.xmodgamespro&c=1%7CBOOKS_AND_REFERENCE
"King Pro Root",books_and_reference,"1.0","Dec 10 2015","Android 2.3.2+",1.8 MB,"My Dev",https://download.apkpure.com/c/APK/558/012206c02fe2bc2c?fn=King%20Pro%20Root_v1.0_apkpure.com.apk&k=d99b2928f2ca1c3209637cb051cdded95724c38a&p=net.mydev.kingproroot&c=1%7CBOOKS_AND_REFERENCE
"Wattpad - Free Books & Stories",books_and_reference,"6.18.2","Apr 22 2016","Android 4.0.3+",12.6 MB,"Wattpad.com",https://download.apkpure.com/c/APK/1213/018cd003f90b8233?fn=Wattpad%20Free%20Books%20Stories_v6.18.2_apkpure.com.apk&k=0b617fdf1ee0e5c10ecd04bbfc7dbf175724c38a&p=wp.wattpad&c=1%7CBOOKS_AND_REFERENCE
"Oxford Dictionary of English",books_and_reference,"5.1.056","Apr 19 2016","Android 4.0+",14.4 MB,"MobiSystems",https://download.apkpure.com/c/APK/1198/0186234c41511ac7?fn=Oxford%20Dictionary%20of%20English_v5.1.056_apkpure.com.apk&k=2447c7e7252deab07b8867251754fc215724c38a&p=com.mobisystems.msdict.embedded.wireless.oxford.dictionaryofenglish&c=1%7CBOOKS_AND_REFERENCE
"Wikipedia",books_and_reference,"2.1.143-r-2016-03-16","Mar 23 2016","Android 4.0.3+",13.1 MB,"Wikimedia Foundation",https://download.apkpure.com/c/APK/1022/0155856d824a56f2?fn=Wikipedia_v2.1.143-r-2016-03-16_apkpure.com.apk&k=6c9af1ea501a9c8da888def11d6558855724c38a&p=org.wikipedia&c=1%7CBOOKS_AND_REFERENCE
"القرآن الكريم كامل بدون انترنت",books_and_reference,"4.0","Sep 22 2015","Android 2.3.2+",47.6 MB,"simppro",https://download.apkpure.com/c/APK/436/01183551a0920bc9?fn=%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86%20%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85%20%D9%83%D8%A7%D9%85%D9%84%20%D8%A8%D8%AF%D9%88%D9%86%20%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA_v4.0_apkpure.com.apk&k=432577113b88e9266d5001ff17f42d2a5724c38a&p=com.simppro.quran.offline&c=1%7CBOOKS_AND_REFERENCE
"Dictionary - Merriam-Webster",books_and_reference,"3.1.6","Feb 17 2016","Android 2.3.4+",29.1 MB,"Merriam-Webster Inc.",https://download.apkpure.com/c/APK/797/013ec09bef42ee7f?fn=Dictionary%20Merriam%20Webster_v3.1.6_apkpure.com.apk&k=4918bf02981d8601432b5690143198595724c38a&p=com.merriamwebster&c=1%7CBOOKS_AND_REFERENCE
"Amazon Kindle",books_and_reference,"4.22.0.165","Apr 14 2016","Android 4.1+",48.4 MB,"Amazon Mobile LLC",https://download.apkpure.com/c/APK/1173/017e69398e82ea7a?fn=Amazon%20Kindle_v4.22.0.165_apkpure.com.apk&k=58cfd4bf697a859af0eb9c3cbfab87595724c38a&p=com.amazon.kindle&c=1%7CBOOKS_AND_REFERENCE
"Pokemon Go",books_and_reference,"1.0","Feb 03 2016","Android 4.0.3+",5.2 MB,"aoaolover",https://download.apkpure.com/c/APK/676/0135120f05049d80?fn=Pokemon%20Go_v1.0_apkpure.com.apk&k=b43b721c9cb6ad691cee0898703f22e65724c38a&p=com.kbndfkmn.lbmlpd&c=1%7CBOOKS_AND_REFERENCE
